image,height,width,type,original_dataset,scenario,airport,runway,time_to_landing,weather,night,time,slant_distance,along_track_distance,height_above_runway,lateral_path_angle,vertical_path_angle,yaw,pitch,roll,watermark_height,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,image_name,detected
images/-6-gPlw4x_8_046.png,1080,1920,real,REAL_Nominal,,KJFK,22L,32,,,,,,,,,,,,,1328,474,1339,474,1318,513,1347,513,-6-gPlw4x_8_046.png,True
images/-6-gPlw4x_8_049.png,1080,1920,real,REAL_Nominal,,KJFK,22L,26,,,,,,,,,,,,,577,458,590,458,606,502,568,503,-6-gPlw4x_8_049.png,True
images/-6-gPlw4x_8_053.png,1080,1920,real,REAL_Nominal,,KJFK,22L,18,,,,,,,,,,,,,1006,689,1019,689,988,735,1038,735,-6-gPlw4x_8_053.png,True
images/-6-gPlw4x_8_055.png,1080,1920,real,REAL_Nominal,,KJFK,22L,14,,,,,,,,,,,,,1342,473,1357,473,1303,538,1385,541,-6-gPlw4x_8_055.png,True
images/-6-gPlw4x_8_056.png,1080,1920,real,REAL_Nominal,,KJFK,22L,12,,,,,,,,,,,,,560,461,576,461,626,534,523,537,-6-gPlw4x_8_056.png,True
images/-6-gPlw4x_8_057.png,1080,1920,real,REAL_Nominal,,KJFK,22L,10,,,,,,,,,,,,,1344,461,1362,462,1278,546,1412,551,-6-gPlw4x_8_057.png,True
images/-6-gPlw4x_8_058.png,1080,1920,real,REAL_Nominal,,KJFK,22L,8,,,,,,,,,,,,,922,685,903,686,823,779,997,781,-6-gPlw4x_8_058.png,True
images/-6-gPlw4x_8_059.png,1080,1920,real,REAL_Nominal,,KJFK,22L,6,,,,,,,,,,,,,902,692,923,692,1088,844,746,854,-6-gPlw4x_8_059.png,True
images/-ctbTA6voZ4_002.png,720,1280,real,REAL_Nominal,,EGBB,15,60,,,,,,,,,,,,,585,289,592,289,587,317,601,317,-ctbTA6voZ4_002.png,True
images/-ctbTA6voZ4_010.png,720,1280,real,REAL_Nominal,,EGBB,15,44,,,,,,,,,,,,,726,309,734,309,714,348,733,348,-ctbTA6voZ4_010.png,True
images/-ctbTA6voZ4_014.png,720,1280,real,REAL_Nominal,,EGBB,15,36,,,,,,,,,,,,,547,270,555,270,538,315,563,316,-ctbTA6voZ4_014.png,True
images/-ctbTA6voZ4_017.png,720,1280,real,REAL_Nominal,,EGBB,15,30,,,,,,,,,,,,,645,280,655,281,628,329,659,331,-ctbTA6voZ4_017.png,True
images/-ctbTA6voZ4_020.png,720,1280,real,REAL_Nominal,,EGBB,15,24,,,,,,,,,,,,,628,247,617,248,654,305,613,307,-ctbTA6voZ4_020.png,True
images/-ctbTA6voZ4_022.png,720,1280,real,REAL_Nominal,,EGBB,15,20,,,,,,,,,,,,,611,275,622,275,656,342,603,343,-ctbTA6voZ4_022.png,True
images/-ctbTA6voZ4_024.png,720,1280,real,REAL_Nominal,,EGBB,15,16,,,,,,,,,,,,,612,255,623,255,591,331,666,331,-ctbTA6voZ4_024.png,True
images/-ctbTA6voZ4_025.png,720,1280,real,REAL_Nominal,,EGBB,15,14,,,,,,,,,,,,,651,259,663,260,609,342,703,349,-ctbTA6voZ4_025.png,True
images/-ctbTA6voZ4_026.png,720,1280,real,REAL_Nominal,,EGBB,15,12,,,,,,,,,,,,,620,252,630,253,558,345,686,356,-ctbTA6voZ4_026.png,True
images/-ctbTA6voZ4_027.png,720,1280,real,REAL_Nominal,,EGBB,15,10,,,,,,,,,,,,,642,278,654,278,556,397,753,400,-ctbTA6voZ4_027.png,True
images/-ctbTA6voZ4_028.png,720,1280,real,REAL_Nominal,,EGBB,15,8,,,,,,,,,,,,,618,266,630,266,385,461,811,470,-ctbTA6voZ4_028.png,True
images/-KOP9Kub9t8_065.png,1080,1902,real,REAL_Nominal,,VHHH,25R,50,,,,,,,,,,,,,875,517,885,517,871,547,888,547,-KOP9Kub9t8_065.png,False
images/-KOP9Kub9t8_070.png,1080,1902,real,REAL_Nominal,,VHHH,25R,40,,,,,,,,,,,,,1008,521,1019,521,1004,553,1027,553,-KOP9Kub9t8_070.png,False
images/-KOP9Kub9t8_073.png,1080,1902,real,REAL_Nominal,,VHHH,25R,34,,,,,,,,,,,,,1000,524,1012,524,1020,560,993,561,-KOP9Kub9t8_073.png,False
images/-KOP9Kub9t8_076.png,1080,1902,real,REAL_Nominal,,VHHH,25R,28,,,,,,,,,,,,,998,523,1009,523,1024,564,990,565,-KOP9Kub9t8_076.png,False
images/-KOP9Kub9t8_079.png,1080,1902,real,REAL_Nominal,,VHHH,25R,22,,,,,,,,,,,,,1016,501,1002,502,1034,549,988,550,-KOP9Kub9t8_079.png,True
images/-KOP9Kub9t8_081.png,1080,1902,real,REAL_Nominal,,VHHH,25R,18,,,,,,,,,,,,,1022,510,1008,511,1048,563,988,565,-KOP9Kub9t8_081.png,True
images/-KOP9Kub9t8_083.png,1080,1902,real,REAL_Nominal,,VHHH,25R,14,,,,,,,,,,,,,884,513,901,514,845,576,933,581,-KOP9Kub9t8_083.png,True
images/-KOP9Kub9t8_084.png,1080,1902,real,REAL_Nominal,,VHHH,25R,12,,,,,,,,,,,,,1007,498,992,499,1062,572,947,580,-KOP9Kub9t8_084.png,True
images/-KOP9Kub9t8_085.png,1080,1902,real,REAL_Nominal,,VHHH,25R,10,,,,,,,,,,,,,989,511,1006,511,1082,608,912,614,-KOP9Kub9t8_085.png,True
images/-KOP9Kub9t8_086.png,1080,1902,real,REAL_Nominal,,VHHH,25R,8,,,,,,,,,,,,,893,507,909,508,750,664,1065,670,-KOP9Kub9t8_086.png,True
images/0CLSYZPFbTg_060.png,1080,1920,real,REAL_Nominal,,LTAI,36C,108,,,,,,,,,,,,,943,442,951,442,942,470,952,471,0CLSYZPFbTg_060.png,False
images/0CLSYZPFbTg_084.png,1080,1920,real,REAL_Nominal,,LTAI,36C,60,,,,,,,,,,,,,907,451,920,451,903,494,925,494,0CLSYZPFbTg_084.png,True
images/0CLSYZPFbTg_093.png,1080,1920,real,REAL_Nominal,,LTAI,36C,42,,,,,,,,,,,,,977,415,964,416,958,470,985,470,0CLSYZPFbTg_093.png,True
images/0CLSYZPFbTg_101.png,1080,1920,real,REAL_Nominal,,LTAI,36C,26,,,,,,,,,,,,,965,475,978,476,947,545,996,545,0CLSYZPFbTg_101.png,True
